,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
9003579310632,RC URINARY S/O DOG 410G,PRESCRIPTION DIET,PIECES,12,2820,235.00,290,,11 Oct 2026,NUVETUS
12604081,RC URINARY S/O DOG 410G (SSAC),PRESCRIPTION DIET,PIECES,12,2784,232.00,320,,15 Sep 2027,SOUTH SIDE ANIMAL CLINIC
70322101,RECATHETER,CLINIC/LAB/MEDS,PIECES,1,,10.00,250,,,
85819610,REGISTRATION FEE,SEVICES,SERVICING,,,150.00,300,,,PAWESOME
65009321,S BITE ROPE ,SUPPLY AND ACCESSORIES,PIECES,1,80,80.00,100,,,PET & HOME PH
32873351,SCRATCHER VASE,SUPPLY AND ACCESSORIES,PIECES,1,620,620,1620,,,
79199612,WOUND REPAIR MINOR - 1 TO 5 MINS.,SURGERY,SERVICING,,250,250.00,600,,,
39905932,WOUND REPAIR MINOR - 6 TO 10 MINS.,SURGERY,SERVICING,,350,350.00,800,,,
70879131,WOUND REPAIR MINOR - 11 TO 15 MINS.,SURGERY,SERVICING,,450,450.00,1000,,,
26084916,WOUND REPAIR MINOR - 16 TO 20 MINS.,SURGERY,SERVICING,,550,550.00,1200,,,
56445596,WOUND REPAIR MINOR - 21 TO 25 MINS,SURGERY,SERVICING,,650,650.00,1400,,,
36075874,SCOURVET (JPS ONLINE SHOP),CLINIC/LAB/MEDS,PIECES,3,717,239.00,350,,1 Sep 2027,JPS ONLINE SHOP
91829825,SCOURVET (PPCMNL),CLINIC/LAB/MEDS,PIECES,3,684,228.00,350,,1 Jun 2027,PPCMNL
30249219,SEPTOTRYL - INJECTION 1 TO 3KG,CLINIC/LAB/MEDS,SERVICING,,,30.85,250,,29 Jun 2025,NUVETUS
74524549,SEPTOTRYL - INJECTION 3.1 TO 6KG,CLINIC/LAB/MEDS,SERVICING,,,61.70,300,,,NUVETUS
75303655,SEPTOTRYL - INJECTION 61. TO 9KG,CLINIC/LAB/MEDS,SERVICING,,,92.56,350,,,NUVETUS
44728502,SEPTOTRYL - INJECTION 9.1 TO 12KG,CLINIC/LAB/MEDS,SERVICING,,,123.41,400,,,NUVETUS
14541124,SEPTOTRYL - INJECTION 12.1 TO 15KG,CLINIC/LAB/MEDS,SERVICING,,,154.26,450,,,NUVETUS
98365678,SEPTOTRYL - INJECTION 15.1 TO 19KG,CLINIC/LAB/MEDS,SERVICING,,,195.40,500,,,NUVETUS
76208126,SEPTOTRYL - INJECTION 19.1 TO 25KG,CLINIC/LAB/MEDS,SERVICING,,,257.10,600,,,NUVETUS
